Descritor,Modelo,RMSE,MAE,MSE,R2,Configuração
CKSAAGP,Random Forest,13.785537937570165,10.989830534482756,193.24205267802012,0.45994845084762437,CKSAAGP + Random Forest
AAC,Random Forest,13.98768602914998,11.093586375287368,198.95665937511393,0.43824334314679847,AAC + Random Forest
AAC,Bayesian Ridge,15.2901842842445,12.044500456161561,238.38024007395484,0.32984695131003916,AAC + Bayesian Ridge
CKSNAP,Random Forest,15.556602626989527,12.444350570114949,244.8909622794932,0.31967796204760013,CKSNAP + Random Forest
AAL,Random Forest,16.08139339641982,12.88957418160921,261.44488758023107,0.27077004376548325,AAL + Random Forest
